AoA	CLairf	CDairf
-90.00	0.00000	1.86806
-80.30	-0.40833	1.84722
-70.11	-0.70000	1.74306
-59.92	-0.93333	1.59722
-50.14	-1.05833	1.29861
-45.24	-1.07500	1.13194
-40.35	-1.05833	0.97222
-35.05	-0.95833	0.77083
-29.76	-0.82500	0.58333
-24.46	-0.65833	0.41667
-16.19	-0.46128	0.23611
-14.22	-0.54736	0.11954
-13.69	-0.99472	0.10218
-13.06	-1.05782	0.08118
-12.16	-0.98910	0.05136
-10.44	-0.81041	0.01070
-8.42	-0.59624	0.00899
-6.32	-0.37365	0.00744
-4.17	-0.14721	0.00655
-3.08	-0.03181	0.00602
-2.56	0.02380	0.00570
-2.07	0.07564	0.00459
-1.02	0.18665	0.00427
0.11	0.30597	0.00428
2.28	0.53605	0.00437
3.29	0.64238	0.00471
3.85	0.70153	0.00553
4.08	0.72668	0.00619
4.40	0.75987	0.00763
6.20	0.95040	0.00961
7.92	1.13230	0.01176
9.47	1.29661	0.01477
10.77	1.43361	0.02052
14.13	1.51622	0.11662
16.64	1.57391	0.23610
20.18	1.42312	0.31588
22.17	1.12619	0.38086
24.23	1.03583	0.44749
29.76	0.82500	0.58333
35.05	0.95833	0.77083
40.35	1.05833	0.97222
45.24	1.07500	1.13194
50.14	1.05833	1.29861
59.92	0.93333	1.59722
70.11	0.70000	1.74306
80.30	0.40833	1.84722
90.00	0.00000	1.86806
